Time(s)    Height(m)    Speed(m/s)    Mass(kg)
0.1    0    0.38512    548750
0.2    0.038512    0.770863    548500
0.3    0.115598    1.15723    548250
0.4    0.231321    1.54422    548000
0.5    0.385743    1.93183    547750
0.6    0.578925    2.32006    547500
0.7    0.810932    2.70892    547250
0.8    1.08182    3.09841    547000
0.9    1.39166    3.48852    546750
1    1.74052    3.87925    546500
1.1    2.12844    4.27061    546250
1.2    2.5555    4.6626    546000
1.3    3.02176    5.05521    545750
1.4    3.52728    5.44845    545500
1.5    4.07213    5.84232    545250
1.6    4.65636    6.23682    545000
1.7    5.28004    6.63194    544750
1.8    5.94324    7.02769    544500
1.9    6.64601    7.42407    544250
2    7.38841    7.82108    544000
2.1    8.17052    8.21872    543750
2.2    8.99239    8.61699    543500
2.3    9.85409    9.01589    543250
2.4    10.7557    9.41542    543000
2.5    11.6972    9.81558    542750
2.6    12.6788    10.2164    542500
2.7    13.7004    10.6178    542250
2.8    14.7622    11.0199    542000
2.9    15.8642    11.4225    541750
3    17.0064    11.8259    541500
3.1    18.189    12.2298    541250
3.2    19.412    12.6344    541000
3.3    20.6755    13.0396    540750
3.4    21.9794    13.4455    540500
3.5    23.324    13.852    540250
3.6    24.7092    14.2591    540000
3.7    26.1351    14.6669    539750
3.8    27.6018    15.0753    539500
3.9    29.1093    15.4843    539250
4    30.6577    15.894    539000
4.1    32.2471    16.3043    538750
4.2    33.8776    16.7153    538500
4.3    35.5491    17.1269    538250
4.4    37.2618    17.5391    538000
4.5    39.0157    17.9519    537750
4.6    40.8109    18.3655    537500
4.7    42.6474    18.7796    537250
4.8    44.5254    19.1944    537000
4.9    46.4448    19.6098    536750
5    48.4058    20.0259    536500
5.1    50.4084    20.4426    536250
5.2    52.4526    20.8599    536000
5.3    54.5386    21.2779    535750
5.4    56.6664    21.6965    535500
5.5    58.8361    22.1158    535250
5.6    61.0477    22.5357    535000
5.7    63.3012    22.9563    534750
5.8    65.5969    23.3775    534500
5.9    67.9346    23.7993    534250
6    70.3145    24.2218    534000
6.1    72.7367    24.645    533750
6.2    75.2012    25.0687    533500
6.3    77.7081    25.4932    533250
6.4    80.2574    25.9182    533000
6.5    82.8492    26.344    532750
6.6    85.4836    26.7703    532500
6.7    88.1607    27.1973    532250
6.8    90.8804    27.625    532000
6.9    93.6429    28.0533    531750
7    96.4482    28.4823    531500
7.1    99.2965    28.9119    531250
7.2    102.188    29.3421    531000
7.3    105.122    29.773    530750
7.4    108.099    30.2046    530500
7.5    111.12    30.6368    530250
7.6    114.183    31.0696    530000
7.7    117.29    31.5031    529750
7.8    120.441    31.9373    529500
7.9    123.634    32.3721    529250
8    126.871    32.8075    529000
8.1    130.152    33.2436    528750
8.2    133.477    33.6804    528500
8.3    136.845    34.1178    528250
8.4    140.256    34.5559    528000
8.5    143.712    34.9946    527750
8.6    147.211    35.434    527500
8.7    150.755    35.874    527250
8.8    154.342    36.3147    527000
8.9    157.974    36.756    526750
9    161.649    37.198    526500
9.1    165.369    37.6407    526250
9.2    169.133    38.084    526000
9.3    172.942    38.5279    525750
9.4    176.794    38.9726    525500
9.5    180.692    39.4178    525250
9.6    184.633    39.8638    525000
9.7    188.62    40.3104    524750
9.8    192.651    40.7576    524500
9.9    196.727    41.2055    524250
10    200.847    41.6541    524000
10.1    205.013    42.1033    523750
10.2    209.223    42.5532    523500
10.3    213.478    43.0038    523250
10.4    217.779    43.455    523000
10.5    222.124    43.9069    522750
10.6    226.515    44.3594    522500
10.7    230.951    44.8126    522250
10.8    235.432    45.2665    522000
10.9    239.959    45.721    521750
11    244.531    46.1762    521500
11.1    249.148    46.632    521250
11.2    253.812    47.0885    521000
11.3    258.52    47.5457    520750
11.4    263.275    48.0035    520500
11.5    268.075    48.462    520250
11.6    272.922    48.9212    520000
11.7    277.814    49.381    519750
11.8    282.752    49.8416    519500
11.9    287.736    50.3027    519250
12    292.766    50.7646    519000
12.1    297.843    51.2271    518750
12.2    302.965    51.6902    518500
12.3    308.134    52.1541    518250
12.4    313.35    52.6186    518000
12.5    318.612    53.0837    517750
12.6    323.92    53.5496    517500
12.7    329.275    54.0161    517250
12.8    334.677    54.4833    517000
12.9    340.125    54.9511    516750
13    345.62    55.4197    516500
13.1    351.162    55.8889    516250
13.2    356.751    56.3587    516000
13.3    362.387    56.8293    515750
13.4    368.07    57.3005    515500
13.5    373.8    57.7723    515250
13.6    379.577    58.2449    515000
13.7    385.401    58.7181    514750
13.8    391.273    59.192    514500
13.9    397.192    59.6666    514250
14    403.159    60.1419    514000
14.1    409.173    60.6178    513750
14.2    415.235    61.0944    513500
14.3    421.345    61.5717    513250
14.4    427.502    62.0496    513000
14.5    433.707    62.5282    512750
14.6    439.96    63.0075    512500
14.7    446.26    63.4875    512250
14.8    452.609    63.9682    512000
14.9    459.006    64.4495    511750
15    465.451    64.9315    511500
15.1    471.944    65.4142    511250
15.2    478.485    65.8976    511000
15.3    485.075    66.3817    510750
15.4    491.713    66.8664    510500
15.5    498.4    67.3518    510250
15.6    505.135    67.8379    510000
15.7    511.919    68.3247    509750
15.8    518.751    68.8121    509500
15.9    525.633    69.3003    509250
16    532.563    69.7891    509000
16.1    539.542    70.2786    508750
16.2    546.569    70.7688    508500
16.3    553.646    71.2597    508250
16.4    560.772    71.7512    508000
16.5    567.947    72.2434    507750
16.6    575.172    72.7364    507500
16.7    582.445    73.23    507250
16.8    589.768    73.7243    507000
16.9    597.141    74.2193    506750
17    604.563    74.7149    506500
17.1    612.034    75.2113    506250
17.2    619.555    75.7083    506000
17.3    627.126    76.206    505750
17.4    634.747    76.7045    505500
17.5    642.417    77.2036    505250
